Brand,CPU_Speed,RAM,Storage,Screen_Size,Weight,Price,Price_Hashed,Price_Encrypted,RAM_Encrypted
Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,93c91c851e7acc17d881c9b89ea954be1183070254014be03a93d169cf52dbbd,gAAAAABoIXsZ8ChWQJpHxK3MYRpmqTaUmdNjjlNwbGdl9aGwWemGV8NRYtNnPYSNz9KAUFoK36I52etI5Whc2bLhixjSTh3nsQ==,gAAAAABoIXsZY5eD_gne6piPmYlDIuroFiuZmIOBZP0Xdehjt1ai9R5Zca12WUdLgZXiIALAhhVXEjC7IL9-atOlPKUEFxe8Yw==
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoIXsZR85-HvYKKD2IqjBKODzeK3VEe61GRyF_DzshN4TlaIeS1hM8XunUzxi9RMUFiOlHfUj7U9-yC1lRZ6BDbmv6aj7eAr6fQnRwR5912OQpWHM=,gAAAAABoIXsZ5E8ykOcM1QXhBs06_0mscE6yzIRzVHCnMbAbTu7y5QCweLV2VweG_e4j-l8YVuU1ACz7hvEkWwjo0ibrzM_fEQ==
Acer,2.9128329589730226,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoIXsZ_QB4SWwq9P91-01Lj3AtV0h1FsB0afxMTVeuPbH46kRaXiIOhfb5zXL-5k-aDE6aArMs9mtbibU6y8tS1QXAKebajjYjusTZ_7vdMl4ALTs=,gAAAAABoIXsZb3xUd3JZJZmcqxepN97CltNVc-FHUVdRXr9tNWZOY8SvFDmk5XrPGoVwFUYnKV5x1xrNjZM7oghuuHMt-uFngg==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoIXsZlzsJw_Q-5RtX7ILXqoJ4cXhm-YQWLbzX-JQOzAuUkECNc5zQ3Cqe_VlBxIyvGi0YpSlK6iAUVQNz-WPhoYQ_16Pxslq-dVgok6cFVG9Keo8=,gAAAAABoIXsZSn-M-CpyIppVJ44Wo4HO8JgAcmkFYw7YxoMpbDJLKbcVq-qlbIPeH-jG72JXwz-p2GO2ztqN8wvtNZeZAz7OfA==
Acer,3.8062484529432394,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoIXsZq00rUPg-KymGD6CAFHwgJKtEWaINx13CCKzWCrlQNjwhW96Fel1F6InZhO86_LvkLKXxnOVFrA6hrntOkJ41aTuRLawjQn8JBBN0MRHIrT8=,gAAAAABoIXsZQzM7Znj_G7XHFzk4yN8l9XKFqs5PPoH-YSFAh9i73MXWV6zfSv9JdRZQdAg0Hkufnhv9lMi0ZsiB-G2D2y_-yA==
Acer,3.2680965857834963,32,1000,14.990877165430433,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoIXsZnvfLwI4YAMqztZ3q-FpJwPd_LzhzrZ7gjvo2HYY0lyBLeTJ2u1cPvxY-FXgnHN3dHtLB4-EMTFJuT5LfoM2GfyEncOi5CRkESgDz9xfzn3Q=,gAAAAABoIXsZoQiwpMmoIguU1YNwgaFthJIudmKzhTX127VMf7g3Frrqxjy0g_IR5Svwynwtj6lpnquy4av1LSmgo_nIbFar8w==
HP,1.8813476072856534,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoIXsZZd7EXeZUD1xM_X6kjYs6DXEtusHcyKoyLYqEGoZKTHT4tvzEWCcasGy4h5jyy_fngFEP1F7l-fO_WUJDctaqZlcJoQcke5-Hm7cdCDL0FMs=,gAAAAABoIXsZNHKBYWF9Jhlo2D99jNv09LDsCqAVRyeahpw_js813Pk9FKqRy_9I0AsJ_YUd-tW1sabck3_kYO75W5zg1V3weA==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.137319215539,116d43bb7830626c77c96621646d0f04ce09a6ee21c8efbb640a65f657aef9c6,gAAAAABoIXsZ3rIsRmltu9sR5J4N09oaWCg2WoVL1JKMOAjWbOf_mZv7GrTNWTiinGjvHazn1_tvpj-oyTxIFVO3YnmppiS87ufSy-hWQmwYU2RYOrciNog=,gAAAAABoIXsZXPU8-XVLJjzs8H21-5dHP1vVi8A8S6ThwCARL6AWt2Hrxb_hPXUpZYLO2NV9jsNRz_L9Uffu7fWC-TvDT87bjA==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoIXsZkeddWakRjvZXx8ydd-u4egeZewMS3EZiCQlDJvbvmZSvn7tbGnDbCaZKYjovInvBWvnSlglJK_vbuuDvi_5E-R8T3yEu93yG-MiCp7XE4p8=,gAAAAABoIXsZSa23CgBxSuMtGftXXyjMXlRTmKa4L2nrRvKITcF_AoPyba04GM9cInksGP0xVkHqkrQuzutvO8aQtjPY_czd_w==
Lenovo,2.560326678255965,4,512,15.026331703159487,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoIXsZAyEKsFZ1ihb5fKIBVaszRbu-Wr8TixrfziqDFPB5iNZ2mLSr1LBduOkg7lG1AYaFHIphhJ88tXj_GRxbaTzzfsveyWYm9cRu_lZfSAcQyE8=,gAAAAABoIXsZM7So3EJl9igfq11ExCgmLc9Gb-gQfj-w8hSnv3Ow6lAXUr-GFBnj3KSbR-KW_ASiW25WkR1uvAcFWTSzzIf9ng==
